Date,Case
1/24/2020,2
1/25/2020,2
1/26/2020,2
1/27/2020,2
1/28/2020,2
1/29/2020,2
1/30/2020,2
1/31/2020,5
1/2/2020,5
1/3/2020,7
1/4/2020,8
1/5/2020,9
2/5/2020,10
2/6/2020,10
2/7/2020,12
2/8/2020,13
2/9/2020,14
2/10/2020,14
2/11/2020,15
2/12/2020,15
2/13/2020,16
2/14/2020,16
2/15/2020,16
2/16/2020,16
2/17/2020,16
2/18/2020,16
2/19/2020,16
2/20/2020,16
2/21/2020,16
2/22/2020,16
2/23/2020,16
2/24/2020,16
2/25/2020,16
2/26/2020,16
2/27/2020,16
2/28/2020,16
2/29/2020,16
3/1/2020,16
3/2/2020,16
3/3/2020,16
3/4/2020,16
3/5/2020,16
3/6/2020,17
3/7/2020,17
3/8/2020,21
3/9/2020,30
3/10/2020,31
3/11/2020,35
3/12/2020,39
3/13/2020,44
3/14/2020,49
3/15/2020,53
3/16/2020,57
3/17/2020,61
3/18/2020,61
3/19/2020,76
3/20/2020,85
3/21/2020,87
3/22/2020,94
3/23/2020,118
3/24/2020,123
3/25/2020,134
3/26/2020,153